LMids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
5.5,2.58E-28,2.92E-28,2.96E-28,2.93E-28,2.90E-28,2.87E-28,2.83E-28,2.79E-28,2.76E-28,2.73E-28,2.70E-28,2.69E-28,2.67E-28,2.66E-28,2.65E-28,2.64E-28,2.64E-28,2.63E-28,2.62E-28,2.62E-28,2.62E-28,2.61E-28,2.61E-28,2.61E-28,2.60E-28,2.60E-28,2.60E-28,2.60E-28,2.59E-28,2.60E-28,2.60E-28,2.60E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28,2.59E-28
6,8.38E-25,9.47E-25,9.60E-25,9.51E-25,9.40E-25,9.32E-25,9.18E-25,9.06E-25,8.95E-25,8.85E-25,8.78E-25,8.72E-25,8.68E-25,8.64E-25,8.61E-25,8.58E-25,8.56E-25,8.53E-25,8.51E-25,8.50E-25,8.49E-25,8.47E-25,8.46E-25,8.46E-25,8.44E-25,8.45E-25,8.43E-25,8.43E-25,8.42E-25,8.43E-25,8.43E-25,8.43E-25,8.42E-25,8.42E-25,8.41E-25,8.42E-25,8.42E-25,8.42E-25,8.42E-25,8.40E-25,8.42E-25,8.41E-25,8.42E-25,8.41E-25,8.40E-25,8.41E-25,8.41E-25,8.40E-25,8.41E-25,8.40E-25
6.5,1.62E-21,1.83E-21,1.85E-21,1.83E-21,1.81E-21,1.80E-21,1.77E-21,1.75E-21,1.73E-21,1.71E-21,1.69E-21,1.68E-21,1.67E-21,1.67E-21,1.66E-21,1.66E-21,1.65E-21,1.65E-21,1.64E-21,1.64E-21,1.64E-21,1.63E-21,1.63E-21,1.63E-21,1.63E-21,1.63E-21,1.63E-21,1.63E-21,1.62E-21,1.63E-21,1.63E-21,1.63E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21,1.62E-21
7,1.85E-18,2.09E-18,2.12E-18,2.10E-18,2.08E-18,2.06E-18,2.03E-18,2.00E-18,1.98E-18,1.96E-18,1.94E-18,1.93E-18,1.92E-18,1.91E-18,1.90E-18,1.90E-18,1.89E-18,1.89E-18,1.88E-18,1.88E-18,1.88E-18,1.87E-18,1.87E-18,1.87E-18,1.87E-18,1.87E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18,1.86E-18
7.5,1.26E-15,1.43E-15,1.45E-15,1.43E-15,1.42E-15,1.40E-15,1.38E-15,1.36E-15,1.35E-15,1.33E-15,1.32E-15,1.31E-15,1.31E-15,1.30E-15,1.30E-15,1.29E-15,1.29E-15,1.29E-15,1.28E-15,1.28E-15,1.28E-15,1.28E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.27E-15,1.26E-15,1.27E-15,1.27E-15
8,5.11E-13,5.77E-13,5.85E-13,5.80E-13,5.73E-13,5.68E-13,5.60E-13,5.52E-13,5.46E-13,5.40E-13,5.35E-13,5.31E-13,5.29E-13,5.27E-13,5.25E-13,5.23E-13,5.22E-13,5.20E-13,5.19E-13,5.18E-13,5.18E-13,5.16E-13,5.16E-13,5.16E-13,5.15E-13,5.15E-13,5.14E-13,5.14E-13,5.13E-13,5.14E-13,5.14E-13,5.14E-13,5.13E-13,5.14E-13,5.13E-13,5.13E-13,5.13E-13,5.13E-13,5.13E-13,5.12E-13,5.13E-13,5.13E-13,5.13E-13,5.13E-13,5.12E-13,5.13E-13,5.13E-13,5.12E-13,5.12E-13,5.12E-13
8.5,1.23E-10,1.39E-10,1.41E-10,1.39E-10,1.38E-10,1.37E-10,1.35E-10,1.33E-10,1.31E-10,1.30E-10,1.29E-10,1.28E-10,1.27E-10,1.27E-10,1.26E-10,1.26E-10,1.26E-10,1.25E-10,1.25E-10,1.25E-10,1.25E-10,1.24E-10,1.24E-10,1.24E-10,1.24E-10,1.24E-10,1.24E-10,1.24E-10,1.23E-10,1.24E-10,1.24E-10,1.24E-10,1.23E-10,1.24E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10,1.24E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10,1.23E-10
9,1.76E-08,1.98E-08,2.01E-08,1.99E-08,1.97E-08,1.95E-08,1.92E-08,1.90E-08,1.88E-08,1.86E-08,1.84E-08,1.83E-08,1.82E-08,1.81E-08,1.81E-08,1.80E-08,1.80E-08,1.79E-08,1.78E-08,1.78E-08,1.78E-08,1.78E-08,1.77E-08,1.77E-08,1.77E-08,1.77E-08,1.77E-08,1.77E-08,1.77E-08,1.77E-08,1.77E-08,1.77E-08,1.76E-08,1.77E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08,1.77E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08,1.76E-08
9.5,1.49E-06,1.69E-06,1.71E-06,1.69E-06,1.67E-06,1.66E-06,1.63E-06,1.61E-06,1.59E-06,1.58E-06,1.56E-06,1.55E-06,1.55E-06,1.54E-06,1.53E-06,1.53E-06,1.53E-06,1.52E-06,1.52E-06,1.51E-06,1.51E-06,1.51E-06,1.51E-06,1.51E-06,1.50E-06,1.51E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06
10,7.53E-05,8.51E-05,8.63E-05,8.55E-05,8.45E-05,8.38E-05,8.25E-05,8.14E-05,8.05E-05,7.96E-05,7.89E-05,7.84E-05,7.80E-05,7.76E-05,7.74E-05,7.71E-05,7.70E-05,7.67E-05,7.65E-05,7.64E-05,7.63E-05,7.62E-05,7.61E-05,7.61E-05,7.59E-05,7.60E-05,7.58E-05,7.58E-05,7.57E-05,7.58E-05,7.57E-05,7.58E-05,7.57E-05,7.57E-05,7.56E-05,7.57E-05,7.57E-05,7.57E-05,7.57E-05,7.55E-05,7.57E-05,7.56E-05,7.57E-05,7.56E-05,7.56E-05,7.56E-05,7.56E-05,7.55E-05,7.56E-05,7.55E-05
